"","STNAME","CTYNAME","YEAR","state_po","totalvotes","county_fips","DEMOCRAT","OTHER","REPUBLICAN","winner","percent_rep","age","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","TOM_MALE","TOM_FEMALE","NH_MALE","NH_FEMALE","H_MALE","H_FEMALE","MINORITY_MALE","MINORITY_FEMALE"
"34","COLORADO","CHAFFEE",2016,"CO",11250,8015,4888,971,5391,"R",0.524467360638194,"ages 35-64",7999,4235,3764,3947,3604,121,7,81,58,32,39,45,52,3815,3505,420,259,288,160
"35","COLORADO","CHAFFEE",2016,"CO",11250,8015,4888,971,5391,"R",0.524467360638194,"ages 65+",4612,2268,2344,2226,2295,3,2,11,18,7,14,20,14,2170,2234,98,110,42,49
"36","COLORADO","CHAFFEE",2016,"CO",11250,8015,4888,971,5391,"R",0.524467360638194,"total",19140,10222,8918,9478,8505,321,30,164,135,73,87,173,154,8983,8210,1239,708,744,413
"37","COLORADO","CHAFFEE",2020,"CO",13718,8015,7160,336,6222,"D",0.464952921835301,"ages 15-34",4413,2627,1786,2289,1656,193,16,46,38,30,24,67,50,2088,1583,539,203,338,130
"38","COLORADO","CHAFFEE",2020,"CO",13718,8015,7160,336,6222,"D",0.464952921835301,"ages 35-64",8288,4328,3960,4029,3790,122,12,90,56,34,37,44,61,3902,3686,426,274,299,170
"39","COLORADO","CHAFFEE",2020,"CO",13718,8015,7160,336,6222,"D",0.464952921835301,"ages 65+",5453,2651,2802,2592,2732,6,4,16,25,13,22,21,18,2529,2684,122,118,59,70
"40","COLORADO","CHAFFEE",2020,"CO",13718,8015,7160,336,6222,"D",0.464952921835301,"total",20661,10925,9736,10107,9248,345,44,175,151,91,101,192,185,9662,8978,1263,758,818,488
"41","COLORADO","GARFIELD",2016,"CO",26470,8045,11271,2067,13132,"R",0.538130557718313,"ages 15-34",15496,8056,7440,7489,6915,151,109,154,149,64,102,183,150,5306,4942,2750,2498,567,525
"42","COLORADO","GARFIELD",2016,"CO",26470,8045,11271,2067,13132,"R",0.538130557718313,"ages 35-64",23819,12140,11679,11540,11121,150,78,184,171,88,129,161,161,9368,9152,2772,2527,600,558
"43","COLORADO","GARFIELD",2016,"CO",26470,8045,11271,2067,13132,"R",0.538130557718313,"ages 65+",6925,3356,3569,3259,3467,19,17,33,19,12,31,31,35,3133,3325,223,244,97,102
